Title,Year,Director,Director_Gender,Actor,Actor_Gender
Moulin Rouge!,2001,Baz Luhrmann,M,Nicole Kidman,F
The Intouchables,2011,Éric Toledano,M,François Cluzet,M
Swiss Army Man,2016,Daniel Scheinert,M,Paul Dano,M
The Farewell,2019,Lulu Wang,F,Awkwafina,F
Chernobyl,2019,Johan Renck,M,Jared Harris,M
Hidden Figures,2016,Theodore Melfi,M,Taraji P. Henson,F
Close,2022,Lukas Dhont,M,Eden Dambrine,M
"Love, Simon",2018,Greg Berlanti,M,Nick Robinson,M
Ad Astra,2019,James Gray,M,Brad Pitt,M
The Seventh Seal,1957,Ingmar Bergman,M,Max von Sydow,M
A Silent Voice,2016,Naoko Yamada,F,Miyu Irino,M
Incendies,2010,Denis Villeneuve,M,Lubna Azabal,M
Dogtooth,2009,Yorgos Lanthimos,M,Christos Stergioglou,M
Bridget Jones's Diary,2001,Sharon Maguire,F,Renée Zellweger,F
The Devil All the Time,2020,Antonio Campos,M,Tom Holland,M
Neon Genesis Evangelion: The End of Evangelion,1997,Hideaki Anno,M,Megumi Ogata,F
The Twilight Saga: Eclipse,2010,David Slade,M,Kristen Stewart,F
Barry Lyndon,1975,Stanley Kubrick,M,Ryan O'Neal,M
Misery,1990,Rob Reiner,M,James Caan,M
Burn After Reading,2008,Ethan Coen,M,George Clooney,M
The Wind Rises,2013,Hayao Miyazaki,M,Hideaki Anno,M
The Help,2011,Tate Taylor,M,Emma Stone,F
The Sound of Music,1965,Robert Wise,M,Julie Andrews,F
Judas and the Black Messiah,2021,Shaka King,M,Daniel Kaluuya,M
After Hours,1985,Martin Scorsese,M,Griffin Dunne,M
Kinds of Kindness,2024,Yorgos Lanthimos,M,Emma Stone,F
Melancholia,2011,Lars von Trier,M,Kirsten Dunst,F
The King of Comedy,1982,Martin Scorsese,M,Robert De Niro,M
The Boy in the Striped Pyjamas,2008,Mark Herman,M,Asa Butterfield,M
Fury,2014,David Ayer,M,Brad Pitt,M
