Title,Year,Director,Director_Gender,Actor,Actor_Gender
Army of Darkness,1992,Sam Raimi,M,Bruce Campbell,M
Rio,2011,Carlos Saldanha,M,Jesse Eisenberg,M
Vice,2018,Adam McKay,M,Christian Bale,M
Drive-Away Dolls,2024,Ethan Coen,M,Margaret Qualley,F
Pitch Perfect 2,2015,Elizabeth Banks,F,Anna Kendrick,F
The Peanut Butter Falcon,2019,Tyler Nilson,M,Shia LaBeouf,M
Miss Congeniality,2000,Donald Petrie,M,Sandra Bullock,F
Office Space,1999,Mike Judge,M,Ron Livingston,M
Chicken Little,2005,Mark Dindal,M,Zach Braff,M
Argylle,2024,Matthew Vaughn,M,Bryce Dallas Howard,F
An American Werewolf in London,1981,John Landis,M,David Naughton,M
Love & Other Drugs,2010,Edward Zwick,M,Jake Gyllenhaal,M
White Noise,2022,Noah Baumbach,M,Adam Driver,M
27 Dresses,2008,Anne Fletcher,F,Katherine Heigl,F
Mary Poppins,1964,Robert Stevenson,M,Julie Andrews,F
Uptown Girls,2003,Boaz Yakin,M,Brittany Murphy,F
All About My Mother,1999,Pedro Almodóvar,M,Cecilia Roth,F
The Intern,2015,Nancy Meyers,F,Robert De Niro,M
The Guardians of the Galaxy Holiday Special,2022,James Gunn,M,Chris Pratt,M
Dumb and Dumber,1994,Peter Farrelly,M,Jim Carrey,M
Madagascar: Escape 2 Africa,2008,Eric Darnell,M,Ben Stiller,M
Murder Mystery,2019,Kyle Newacheck,M,Adam Sandler,M
Ice Age: The Meltdown,2006,Carlos Saldanha,M,Ray Romano,M
You've Got Mail,1998,Nora Ephron,F,Meg Ryan,F
A Man Called Otto,2022,Marc Forster,M,Tom Hanks,M
The Big Sick,2017,Michael Showalter,M,Kumail Nanjiani,M
Pineapple Express,2008,David Gordon Green,M,Seth Rogen,M
Hawkeye,2021,Rhys Thomas,M,Jeremy Renner,M
"Hail, Caesar!",2016,Joel Coen,M,Josh Brolin,M
The Man from U.N.C.L.E.,2015,Guy Ritchie,M,Henry Cavill,M
Ghost World,2001,Terry Zwigoff,M,Thora Birch,F
Hairspray,2007,Adam Shankman,M,Nikki Blonsky,F
Violent Night,2022,Tommy Wirkola,M,David Harbour,M
Cha Cha Real Smooth,2022,Cooper Raiff,M,Cooper Raiff,M
Logan Lucky,2017,Steven Soderbergh,M,Channing Tatum,M
Charlie's Angels,2000,McG,M,Cameron Diaz,F
The King of Staten Island,2020,Judd Apatow,M,Pete Davidson,M
The Princess Diaries 2: Royal Engagement,2004,Garry Marshall,M,Anne Hathaway,F
Just Go with It,2011,Dennis Dugan,M,Adam Sandler,M
Bottle Rocket,1996,Wes Anderson,M,Luke Wilson,M
Fallen Leaves,2023,Aki Kaurismäki,M,Alma Pöysti,F
Happy Feet,2006,George Miller,M,Elijah Wood,M
Neighbors,2014,Nicholas Stoller,M,Seth Rogen,M
BlackBerry,2023,Matt Johnson,M,Jay Baruchel,M
Men in Black II,2002,Barry Sonnenfeld,M,Tommy Lee Jones,M
One Hundred and One Dalmatians,1961,Hamilton Luske,M,Rod Taylor,M
Austin Powers: International Man of Mystery,1997,Jay Roach,M,Mike Myers,M
Women on the Verge of a Nervous Breakdown,1988,Pedro Almodóvar,M,Carmen Maura,F
Love and Monsters,2020,Michael Matthews,M,Dylan O'Brien,M
The Kissing Booth,2018,Vince Marcello,M,Joey King,F
Tangerine,2015,Sean Baker,M,Kitana Kiki Rodriguez,F
Daisies,1966,Věra Chytilová,F,Jitka Cerhová,F
Shazam! Fury of the Gods,2023,David F. Sandberg,M,Zachary Levi,M
The Death of Stalin,2017,Armando Iannucci,M,Steve Buscemi,M
Modern Times,1936,Charles Chaplin,M,Charles Chaplin,M
They Cloned Tyrone,2023,Juel Taylor,M,John Boyega,M
Meet the Robinsons,2007,Stephen J. Anderson,M,Daniel Hansen,M
My Cousin Vinny,1992,Jonathan Lynn,M,Joe Pesci,M
Men in Black 3,2012,Barry Sonnenfeld,M,Will Smith,M
Hook,1991,Steven Spielberg,M,Dustin Hoffman,M
Over the Hedge,2006,Karey Kirkpatrick,M,Bruce Willis,M
Sixteen Candles,1984,John Hughes,M,Molly Ringwald,F
50/50,2011,Jonathan Levine,M,Joseph Gordon-Levitt,M
Happiest Season,2020,Clea DuVall,F,Kristen Stewart,F
The House,2022,Paloma Baeza,F,Mia Goth,F
The Babysitter,2017,McG,M,Judah Lewis,M
17 Again,2009,Burr Steers,M,Zac Efron,M
Little Shop of Horrors,1986,Frank Oz,M,Rick Moranis,M
